global_amount,global_amount_control,global_peak_time,global_peak_time_control,rio_time,rio_time_control,new_york_time,new_york_time_control,berlin_time,berlin_time_control,moscow_time,moscow_time_control,beijing_time,beijing_time_control,sydney_time,sydney_time_control
590960753.0,21.9725280213,46,21.9725280213,20,19.3355975979,20,19.3355975979,20,20.4323391961,20,20.4775115093,20,20.4171669828,20,20.2387638564
590929761.0,21.9751790821,46,21.9751790821,20,19.2943745044,20,19.2943745044,20,20.6247372928,20,20.475203588,20,20.5598248023,20,20.2646050676
587947234.0,22.083473217,46,22.083473217,21,19.3407040351,21,19.3407040351,21,20.3304368467,21,20.4648749293,21,20.3559292569,21,20.2126599381
590397747.0,21.9928133429,46,21.9928133429,20,19.2907157041,20,19.2907157041,20,20.5029900234,20,20.349254447,20,20.3270677166,20,20.2923953668
591227487.0,21.9631813071,46,21.9631813071,20,19.2660381956,20,19.2660381956,20,20.260189071,20,20.3198364086,20,20.3842993151,20,20.1005661607
589856521.0,22.0128617145,46,22.0128617145,20,19.3841799382,20,19.3841799382,20,20.2729701554,20,20.2973332959,20,20.4630835916,20,20.2168135702
591460054.0,21.953960224,46,21.953960224,20,19.3716528529,20,19.3716528529,20,20.3259708487,20,20.3762672645,20,20.359689688,20,20.435521309
592640094.0,21.9103378858,46,21.9103378858,20,19.2517594355,20,19.2517594355,20,20.2979343849,20,20.4154067776,20,20.4108483509,20,20.1918112145
590425566.0,21.9906370886,46,21.9906370886,20,19.3459489827,20,19.3459489827,20,20.6236359779,20,20.4605092656,20,20.3647391678,20,20.1538566754
589061483.0,22.0399368293,46,22.0399368293,21,19.4733879293,21,19.4733879293,21,20.629853181,21,20.3082405524,21,20.3765311796,21,19.9911004786
