id,latitude,longitude,name,city,country
1,-6.081689,145.391881,Goroka,Goroka,Papua New Guinea
2,-5.207083,145.7887,Madang,Madang,Papua New Guinea
3,-5.826789,144.295861,Mount Hagen,Mount Hagen,Papua New Guinea
4,-6.569828,146.726242,Nadzab,Nadzab,Papua New Guinea
5,-9.443383,147.22005,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea
6,-3.583828,143.669186,Wewak Intl,Wewak,Papua New Guinea
7,61.160517,-45.425978,Narsarsuaq,Narssarssuaq,Greenland
8,64.190922,-51.678064,Nuuk,Godthaab,Greenland
9,67.016969,-50.689325,Sondre Stromfjord,Sondrestrom,Greenland
10,76.531203,-68.703161,Thule Air Base,Thule,Greenland
11,65.659994,-18.072703,Akureyri,Akureyri,Iceland
12,65.283333,-14.401389,Egilsstadir,Egilsstadir,Iceland
15,66.058056,-23.135278,Isafjordur,Isafjordur,Iceland
16,63.985,-22.605556,Keflavik International Airport,Keflavik,Iceland
18,64.13,-21.940556,Reykjavik,Reykjavik,Iceland
21,46.485001,-84.509445,Sault Ste Marie,Sault Sainte Marie,Canada
24,51.391944,-56.083056,St Anthony,St. Anthony,Canada
27,49.1325,-68.204444,Baie Comeau,Baie Comeau,Canada
28,48.330555,-70.996391,Bagotville,Bagotville,Canada
29,64.298889,-96.077778,Baker Lake,Baker Lake,Canada
30,49.950832,-125.270833,Campbell River,Campbell River,Canada
31,49.91,-99.951944,Brandon Muni,Brandon,Canada
32,69.108055,-105.138333,Cambridge Bay,Cambridge Bay,Canada
33,49.052333,-123.870167,Nanaimo,Nanaimo,Canada
34,49.296389,-117.6325,Castlegar,Castlegar,Canada
36,47.990833,-66.330278,Charlo,Charlo,Canada
37,67.816667,-115.143889,Kugluktuk,Coppermine,Canada
40,70.486111,-68.516667,Clyde River,Clyde River,Canada
41,64.193333,-83.359444,Fairmont Hot Springs,Coral Harbour,Canada
45,49.210833,-57.391388,Deer Lake,Deer Lake,Canada
48,55.742333,-120.183,Dawson Creek,Dawson Creek,Canada
49,53.309723,-113.579722,Edmonton Intl,Edmonton,Canada
50,61.094166,-94.070833,Arviat,Eskimo Point,Canada
54,68.304167,-133.482778,Inuvik Mike Zubko,Inuvik,Canada
55,63.75639,-68.555832,Iqaluit,Iqaluit,Canada
