airport_id,latitude,longitude,name,city,country,pop_sum,NEIGHBORS
1,-6.081689,145.391881,Goroka,Goroka,Papua New Guinea,457710.2374122188,"5421,5,2,4,5420"
2,-5.207083,145.7887,Madang,Madang,Papua New Guinea,186511.06630883034,"5424,4,3,5420,1,6,5437,5430"
3,-5.826789,144.295861,Mount Hagen,Mount Hagen,Papua New Guinea,409387.47601561504,"2,5420,5437,5429"
4,-6.569828,146.726242,Nadzab,Nadzab,Papua New Guinea,589241.8353973622,"5,5424,2,5423,1"
5,-9.443383,147.22005,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,459312.77796873887,"3322,5421,6286,5422,5423,5984,4,1"
6,-3.583828,143.669186,Wewak Intl,Wewak,Papua New Guinea,246544.70100308044,"2,5434,5436,5433,5437,5430"
8199,60.471111,-164.700833,Nightmute Airport,Nightmute,United States,0.0,"8203,8200,6960"
8200,60.541389,-165.087222,Toksook Bay Airport,Toksook Bay,United States,0.0,"8201,8199,8203,6720,6960"
8201,60.575556,-165.271667,Tununak Airport,Tununak,United States,0.0,"5968,6716,8203,8200,6720"
10,76.531203,-68.703161,Thule Air Base,Thule,Greenland,0.0,"40,5448,75,5446,152"
11,65.659994,-18.072703,Akureyri,Akureyri,Iceland,74703.04440393337,"8208,12,18,15"
12,65.283333,-14.401389,Egilsstadir,Egilsstadir,Iceland,8382.519834104734,"8208,625,11,538,600,5577,18"
8206,8.06,-78.36,Garachine Airport,Garachine,Panama,4191.259917052367,"8204,7895,5958,5957,8207,5955"
15,66.058056,-23.135278,Isafjordur,Isafjordur,Iceland,5917.07282407393,"8208,11,16,18,4248,5439"
16,63.985,-22.605556,Keflavik International Airport,Keflavik,Iceland,47952.944345099146,"601,18,15,4248,5793,1627,1629"
8209,49.2433,28.6063,Vinnitsa,Vinnitsa,Ukraine,5516807.501995429,"1735,1655,2947,6106,2945,2954,2944"
18,64.13,-21.940556,Reykjavik,Reykjavik,Iceland,468928.021307859,"12,11,601,600,16,15"
21,46.485001,-84.509445,Sault Ste Marie,Sault Sainte Marie,Canada,120560.35879050633,"5720,5762,5470,5729,133,143,190,6800,6838"
24,51.391944,-56.083056,St Anthony,St. Anthony,Canada,16025.405565200228,"5440,45,5485,125,5444,5461,5442,189"
8217,50.195833,-61.265833,Kegaska Airport,Kegaska,Canada,6410.162226080091,"188,5503,94,65,77"
27,49.1325,-68.204444,Baie Comeau,Baie Comeau,Canada,43761.68442804678,"28,161,192,202,36"
28,48.330555,-70.996391,Bagotville,Bagotville,Canada,578393.8685532267,"111,161,27,3528,192,5514"
29,64.298889,-96.077778,Baker Lake,Baker Lake,Canada,3081.8087625385056,"32,50,5534,132,69,58,141,183"
30,49.950832,-125.270833,Campbell River,Campbell River,Canada,49925.30195312379,"119,5457,5523,5757,200,6738"
31,49.91,-99.951944,Brandon Muni,Brandon,Canada,327411.3629320908,"120,5524,3442,160,3498,4083"
32,69.108055,-105.138333,Cambridge Bay,Cambridge Bay,Canada,3821.442865547747,"5511,37,128,69,29,58,68"
8225,73.006389,-85.047222,Arctic Bay Airport,Arctic Bay,Canada,3574.898164544666,"128,75,5498,147,183,5495"
34,49.296389,-117.6325,Castlegar,Castlegar,Canada,12450.507400655562,"122,181,87,164,8223"
8227,17.269444,-88.776111,Hector Silva Airstrip,Belmopan,Belize,126600.7039650818,"1957,7029,6463,7288,7287,5455,4024"
